,part,trialId,charId,l,b,r,t,char
0,2,31,190,590,307,605,406,s
0,2,31,191,605,307,620,406,v
0,2,31,192,620,307,635,406,i
0,2,31,193,635,307,650,406,n
0,2,31,194,650,307,665,406,d
0,2,31,195,665,307,687,406,","
0,2,31,196,687,307,710,406,o
0,2,31,197,710,307,732,406,g
0,2,31,198,732,307,755,406,p
0,2,31,199,755,307,777,406,å
0,2,31,200,777,307,800,406,s
0,2,31,201,800,307,815,406,t
0,2,31,202,815,307,830,406,e
0,2,31,203,830,307,845,406,d
0,2,31,204,845,307,860,406,e
0,2,31,205,860,307,875,406,r
0,2,31,206,875,307,897,406,","
0,2,31,207,897,307,920,406,h
0,2,31,208,920,307,935,406,v
0,2,31,209,935,307,950,406,o
0,2,31,210,950,307,972,406,r
0,2,31,211,972,307,995,406,d
0,2,31,212,995,307,1010,406,e
0,2,31,213,1010,307,1032,406,r
0,2,31,214,1032,307,1055,406,t
0,2,31,215,1055,307,1070,406,i
0,2,31,216,1070,307,1085,406,d
0,2,31,217,1085,307,1100,406,l
0,2,31,218,1100,307,1115,406,i
0,2,31,219,1115,307,1130,406,g
0,2,31,220,1130,307,1145,406,e
0,2,31,221,1145,307,1160,406,r
0,2,31,222,1160,307,1182,406,e
0,2,31,223,1182,307,1205,406,v
0,2,31,224,1205,307,1220,406,a
0,2,31,225,1220,307,1242,406,r
0,2,31,226,1242,307,1265,406,i
0,2,31,227,1265,307,1280,406,l
0,2,31,228,1280,307,1295,406,t
0,2,31,229,1295,307,1310,406,s
0,2,31,230,1310,307,1325,406,v
0,2,31,231,1325,307,1340,406,i
0,2,31,232,1340,307,1355,406,n
0,2,31,233,1355,307,1370,406,d
0,2,31,234,1370,307,1392,406,","
0,2,31,235,1392,307,1415,406,e
0,2,31,236,1415,307,1437,406,r
0,2,31,237,1437,307,1460,406,d
0,2,31,238,1460,307,1475,406,e
0,2,31,239,1475,307,1497,406,r
0,2,31,240,1497,307,1520,406,d
0,2,31,241,1520,307,1542,406,e
0,2,31,242,1542,307,1565,406,s
0,2,31,243,1565,307,1580,406,e
0,2,31,244,1580,307,1595,406,n
0,2,31,245,1595,307,1610,406,e
0,2,31,246,1610,307,1625,406,s
0,2,31,247,1625,307,1640,406,t
0,2,31,248,1640,307,1662,406,e
0,2,31,249,1662,307,1685,406,å
0,2,31,250,1685,307,1710,406,r
0,2,31,251,190,406,215,478,k
0,2,31,252,215,406,230,478,o
0,2,31,253,230,406,245,478,m
0,2,31,254,245,406,260,478,m
0,2,31,255,260,406,275,478,e
0,2,31,256,275,406,297,478,t
0,2,31,257,297,406,320,478,f
0,2,31,258,320,406,335,478,l
0,2,31,259,335,406,350,478,e
0,2,31,260,350,406,365,478,r
0,2,31,261,365,406,387,478,e
0,2,31,262,387,406,410,478,b
0,2,31,263,410,406,425,478,u
0,2,31,264,425,406,440,478,n
0,2,31,265,440,406,455,478,d
0,2,31,266,455,406,470,478,d
0,2,31,267,470,406,485,478,y
0,2,31,268,485,406,500,478,r
0,2,31,269,500,406,522,478,","
0,2,31,270,522,406,545,478,o
0,2,31,271,545,406,567,478,g
0,2,31,272,567,406,590,478,d
0,2,31,273,590,406,605,478,e
0,2,31,274,605,406,627,478,r
0,2,31,275,627,406,650,478,e
0,2,31,276,650,406,672,478,r
0,2,31,277,672,406,695,478,b
0,2,31,278,695,406,710,478,e
0,2,31,279,710,406,725,478,g
0,2,31,280,725,406,740,478,y
0,2,31,281,740,406,755,478,n
0,2,31,282,755,406,770,478,d
0,2,31,283,770,406,785,478,e
0,2,31,284,785,406,800,478,n
0,2,31,285,800,406,815,478,d
0,2,31,286,815,406,837,478,e
0,2,31,287,837,406,860,478,t
0,2,31,288,860,406,875,478,e
0,2,31,289,875,406,890,478,g
0,2,31,290,890,406,912,478,n
0,2,31,291,912,406,935,478,p
0,2,31,292,935,406,957,478,å
0,2,31,293,957,406,980,478,f
0,2,31,294,980,406,995,478,o
0,2,31,295,995,406,1010,478,r
0,2,31,296,1010,406,1025,478,b
0,2,31,297,1025,406,1040,478,e
0,2,31,298,1040,406,1055,478,d
0,2,31,299,1055,406,1070,478,r
0,2,31,300,1070,406,1085,478,i
0,2,31,301,1085,406,1100,478,n
0,2,31,302,1100,406,1115,478,g
0,2,31,303,1115,406,1130,478,e
0,2,31,304,1130,406,1152,478,r
0,2,31,305,1152,406,1175,478,o
0,2,31,306,1175,406,1190,478,g
0,2,31,307,1190,406,1205,478,s
0,2,31,308,1205,406,1227,478,å
0,2,31,309,1227,406,1250,478,f
0,2,31,310,1250,406,1265,478,o
0,2,31,311,1265,406,1287,478,r
0,2,31,312,1287,406,1310,478,å
0,2,31,313,1310,406,1325,478,l
0,2,31,314,1325,406,1340,478,e
0,2,31,315,1340,406,1355,478,g
0,2,31,316,1355,406,1370,478,r
0,2,31,317,1370,406,1385,478,æ
0,2,31,318,1385,406,1400,478,s
0,2,31,319,1400,406,1415,478,s
0,2,31,320,1415,406,1430,478,e
0,2,31,321,1430,406,1445,478,t
0,2,31,322,1445,406,1470,478,.
0,2,25,1,190,138,215,176,N
0,2,25,2,215,138,237,176,Y
0,2,25,3,237,138,260,176,T
0,2,25,4,260,138,275,176,A
0,2,25,5,275,138,290,176,L
0,2,25,6,290,138,312,176,E
0,2,25,7,312,138,335,176,B
0,2,25,8,335,138,350,176,E
0,2,25,9,350,138,365,176,G
0,2,25,10,365,138,380,176,Y
0,2,25,11,380,138,395,176,N
0,2,25,12,395,138,410,176,D
0,2,25,13,410,138,425,176,E
0,2,25,14,425,138,447,176,R
0,2,25,15,447,138,470,176,N
0,2,25,16,470,138,495,176,U
0,2,116,1,190,136,215,208,A
0,2,116,2,215,136,230,208,l
0,2,116,3,230,136,252,208,t
0,2,116,4,252,136,275,208,d
0,2,116,5,275,136,290,208,e
0,2,116,6,290,136,305,208,t
0,2,116,7,305,136,320,208,t
0,2,116,8,320,136,342,208,e
0,2,116,9,342,136,365,208,f
0,2,116,10,365,136,380,208,o
0,2,116,11,380,136,402,208,r
0,2,116,12,402,136,425,208,a
0,2,116,13,425,136,447,208,t
0,2,116,14,447,136,470,208,s
0,2,116,15,470,136,485,208,i
0,2,116,16,485,136,500,208,g
0,2,116,17,500,136,515,208,e
0,2,116,18,515,136,537,208,","
0,2,116,19,537,136,560,208,a
0,2,116,20,560,136,582,208,t
0,2,116,21,582,136,605,208,d
0,2,116,22,605,136,627,208,u
0,2,116,23,627,136,650,208,k
0,2,116,24,650,136,665,208,a
0,2,116,25,665,136,687,208,n
0,2,116,26,687,136,710,208,g
0,2,116,27,710,136,725,208,o
0,2,116,28,725,136,740,208,d
0,2,116,29,740,136,762,208,t
0,2,116,30,762,136,785,208,f
0,2,116,31,785,136,807,208,å
0,2,116,32,807,136,830,208,n
0,2,116,33,830,136,845,208,o
0,2,116,34,845,136,860,208,g
0,2,116,35,860,136,875,208,e
0,2,116,36,875,136,897,208,t
0,2,116,37,897,136,920,208,u
0,2,116,38,920,136,942,208,d
0,2,116,39,942,136,965,208,a
0,2,116,40,965,136,987,208,f
0,2,116,41,987,136,1010,208,a
0,2,116,42,1010,136,1032,208,t
0,2,116,43,1032,136,1055,208,s
0,2,116,44,1055,136,1070,208,t
0,2,116,45,1070,136,1092,208,å
0,2,116,46,1092,136,1115,208,o
0,2,116,47,1115,136,1137,208,p
0,2,116,48,1137,136,1160,208,f
0,2,116,49,1160,136,1175,208,o
0,2,116,50,1175,136,1197,208,r
0,2,116,51,1197,136,1220,208,d
0,2,116,52,1220,136,1235,208,e
0,2,116,53,1235,136,1250,208,t
0,2,116,54,1250,136,1272,208,","
0,2,116,55,1272,136,1295,208,d
0,2,116,56,1295,136,1317,208,u
0,2,116,57,1317,136,1340,208,t
0,2,116,58,1340,136,1355,208,r
0,2,116,59,1355,136,1370,208,o
0,2,116,60,1370,136,1392,208,r
0,2,116,61,1392,136,1415,208,p
0,2,116,62,1415,136,1430,208,å
0,2,116,63,1430,136,1452,208,.
0,2,116,64,1452,136,1482,208,I
0,2,116,65,1482,136,1505,208,s
0,2,116,66,1505,136,1520,208,o
0,2,116,67,1520,136,1542,208,m
0,2,116,68,1542,136,1565,208,g
0,2,116,69,1565,136,1580,208,e
0,2,116,70,1580,136,1595,208,n
0,2,116,71,1595,136,1610,208,e
0,2,116,72,1610,136,1625,208,r
0,2,116,73,1625,136,1640,208,a
0,2,116,74,1640,136,1655,208,t
0,2,116,75,1655,136,1670,208,i
0,2,116,76,1670,136,1685,208,o
0,2,116,77,1685,136,1710,208,n
0,2,116,78,190,208,215,307,k
0,2,116,79,215,208,230,307,a
0,2,116,80,230,208,252,307,n
0,2,116,81,252,208,275,307,s
0,2,116,82,275,208,290,307,æ
0,2,116,83,290,208,305,307,r
0,2,116,84,305,208,320,307,l
0,2,116,85,320,208,335,307,i
0,2,116,86,335,208,350,307,g
0,2,116,87,350,208,372,307,t
0,2,116,88,372,208,395,307,g
0,2,116,89,395,208,410,307,ø
0,2,116,90,410,208,425,307,r
0,2,116,91,425,208,447,307,e
0,2,116,92,447,208,470,307,e
0,2,116,93,470,208,492,307,n
0,2,116,94,492,208,515,307,f
0,2,116,95,515,208,530,307,o
0,2,116,96,530,208,545,307,r
0,2,116,97,545,208,560,307,s
0,2,116,98,560,208,575,307,k
0,2,116,99,575,208,590,307,e
0,2,116,100,590,208,605,307,l
0,2,116,101,605,208,627,307,.
0,2,116,102,627,208,650,307,O
0,2,116,103,650,208,672,307,g
0,2,116,104,672,208,695,307,d
0,2,116,105,695,208,710,307,e
0,2,116,106,710,208,732,307,t
0,2,116,107,732,208,755,307,s
0,2,116,108,755,208,770,307,k
0,2,116,109,770,208,785,307,a
0,2,116,110,785,208,807,307,l
0,2,116,111,807,208,837,307,I
0,2,116,112,837,208,867,307,–
0,2,116,113,867,208,890,307,d
0,2,116,114,890,208,905,307,e
0,2,116,115,905,208,927,307,t
0,2,116,116,927,208,950,307,m
0,2,116,117,950,208,972,307,å
0,2,116,118,972,208,1002,307,I
0,2,116,119,1002,208,1025,307,l
0,2,116,120,1025,208,1040,307,o
0,2,116,121,1040,208,1055,307,v
0,2,116,122,1055,208,1077,307,e
0,2,116,123,1077,208,1100,307,m
0,2,116,124,1100,208,1115,307,i
0,2,116,125,1115,208,1130,307,g
0,2,116,126,1130,208,1152,307,.
0,2,116,127,1152,208,1175,307,F
0,2,116,128,1175,208,1190,307,o
0,2,116,129,1190,208,1212,307,r
0,2,116,130,1212,208,1235,307,d
0,2,116,131,1235,208,1257,307,e
0,2,116,132,1257,208,1280,307,n
0,2,116,133,1280,208,1295,307,y
0,2,116,134,1295,208,1317,307,e
0,2,116,135,1317,208,1340,307,t
0,2,116,136,1340,208,1355,307,e
0,2,116,137,1355,208,1370,307,n
0,2,116,138,1370,208,1385,307,d
0,2,116,139,1385,208,1400,307,e
0,2,116,140,1400,208,1415,307,n
0,2,116,141,1415,208,1430,307,s
0,2,116,142,1430,208,1445,307,e
0,2,116,143,1445,208,1460,307,r
0,2,116,144,1460,208,1482,307,","
0,2,116,145,1482,208,1505,307,d
0,2,116,146,1505,208,1527,307,e
0,2,116,147,1527,208,1550,307,n
0,2,116,148,1550,208,1565,307,y
0,2,116,149,1565,208,1587,307,e
0,2,116,150,1587,208,1610,307,m
0,2,116,151,1610,208,1625,307,å
0,2,116,152,1625,208,1640,307,d
0,2,116,153,1640,208,1655,307,e
0,2,116,154,1655,208,1680,307,r
0,2,116,155,190,307,215,379,a
0,2,116,156,215,307,237,379,t
0,2,116,157,237,307,260,379,g
0,2,116,158,260,307,275,379,ø
0,2,116,159,275,307,290,379,r
0,2,116,160,290,307,312,379,e
0,2,116,161,312,307,335,379,t
0,2,116,162,335,307,350,379,i
0,2,116,163,350,307,365,379,n
0,2,116,164,365,307,387,379,g
0,2,116,165,387,307,410,379,p
0,2,116,166,410,307,425,379,å
0,2,116,167,425,307,447,379,","
0,2,116,168,447,307,470,379,d
0,2,116,169,470,307,492,379,e
0,2,116,170,492,307,515,379,k
0,2,116,171,515,307,530,379,o
0,2,116,172,530,307,545,379,m
0,2,116,173,545,307,560,379,m
0,2,116,174,560,307,575,379,e
0,2,116,175,575,307,597,379,r
0,2,116,176,597,307,620,379,n
0,2,116,177,620,307,635,379,e
0,2,116,178,635,307,650,379,m
0,2,116,179,650,307,665,379,l
0,2,116,180,665,307,680,379,i
0,2,116,181,680,307,702,379,g
0,2,116,182,702,307,725,379,o
0,2,116,183,725,307,740,379,f
0,2,116,184,740,307,755,379,t
0,2,116,185,755,307,770,379,e
0,2,116,186,770,307,785,379,s
0,2,116,187,785,307,807,379,t
0,2,116,188,807,307,830,379,f
0,2,116,189,830,307,845,379,r
0,2,116,190,845,307,867,379,a
0,2,116,191,867,307,890,379,d
0,2,116,192,890,307,912,379,e
0,2,116,193,912,307,935,379,u
0,2,116,194,935,307,950,379,n
0,2,116,195,950,307,965,379,g
0,2,116,196,965,307,987,379,e
0,2,116,197,987,307,1010,379,g
0,2,116,198,1010,307,1025,379,e
0,2,116,199,1025,307,1040,379,n
0,2,116,200,1040,307,1055,379,e
0,2,116,201,1055,307,1070,379,r
0,2,116,202,1070,307,1085,379,a
0,2,116,203,1085,307,1100,379,t
0,2,116,204,1100,307,1115,379,i
0,2,116,205,1115,307,1130,379,o
0,2,116,206,1130,307,1145,379,n
0,2,116,207,1145,307,1160,379,e
0,2,116,208,1160,307,1175,379,r
0,2,116,209,1175,307,1197,379,.
0,2,116,210,1197,307,1220,379,O
0,2,116,211,1220,307,1242,379,g
0,2,116,212,1242,307,1265,379,d
0,2,116,213,1265,307,1280,379,e
0,2,116,214,1280,307,1302,379,t
0,2,116,215,1302,307,1325,379,e
0,2,116,216,1325,307,1347,379,r
0,2,116,217,1347,307,1370,379,l
0,2,116,218,1370,307,1385,379,i
0,2,116,219,1385,307,1400,379,g
0,2,116,220,1400,307,1422,379,e
0,2,116,221,1422,307,1445,379,n
0,2,116,222,1445,307,1467,379,u
0,2,116,223,1467,307,1490,379,j
0,2,116,224,1490,307,1505,379,e
0,2,116,225,1505,307,1520,379,r
0,2,116,226,1520,307,1545,379,.
0,2,19,1,190,137,215,208,D
0,2,19,2,215,137,230,208,e
0,2,19,3,230,137,252,208,t
0,2,19,4,252,137,275,208,j
0,2,19,5,275,137,290,208,e
0,2,19,6,290,137,312,208,g
0,2,19,7,312,137,335,208,b
0,2,19,8,335,137,350,208,a
0,2,19,9,350,137,365,208,r
0,2,19,10,365,137,387,208,e
0,2,19,11,387,137,410,208,p
0,2,19,12,410,137,425,208,r
0,2,19,13,425,137,440,208,ø
0,2,19,14,440,137,455,208,v
0,2,19,15,455,137,470,208,e
0,2,19,16,470,137,492,208,r
0,2,19,17,492,137,515,208,a
0,2,19,18,515,137,537,208,t
0,2,19,19,537,137,560,208,s
0,2,19,20,560,137,575,208,i
0,2,19,21,575,137,590,208,g
0,2,19,22,590,137,612,208,e
0,2,19,23,612,137,635,208,e
0,2,19,24,635,137,650,208,r
0,2,19,25,650,137,672,208,","
0,2,19,26,672,137,695,208,a
0,2,19,27,695,137,717,208,t
0,2,19,28,717,137,740,208,d
0,2,19,29,740,137,755,208,e
0,2,19,30,755,137,777,208,r
0,2,19,31,777,137,800,208,f
0,2,19,32,800,137,815,208,i
0,2,19,33,815,137,830,208,n
0,2,19,34,830,137,845,208,d
0,2,19,35,845,137,860,208,e
0,2,19,36,860,137,882,208,s
0,2,19,37,882,137,905,208,m
0,2,19,38,905,137,920,208,a
0,2,19,39,920,137,935,208,n
0,2,19,40,935,137,950,208,g
0,2,19,41,950,137,972,208,e
0,2,19,42,972,137,995,208,f
0,2,19,43,995,137,1010,208,o
0,2,19,44,1010,137,1025,208,r
0,2,19,45,1025,137,1040,208,s
0,2,19,46,1040,137,1055,208,k
0,2,19,47,1055,137,1070,208,e
0,2,19,48,1070,137,1085,208,l
0,2,19,49,1085,137,1100,208,l
0,2,19,50,1100,137,1115,208,i
0,2,19,51,1115,137,1130,208,g
0,2,19,52,1130,137,1152,208,e
0,2,19,53,1152,137,1175,208,v
0,2,19,54,1175,137,1190,208,e
0,2,19,55,1190,137,1205,208,r
0,2,19,56,1205,137,1220,208,d
0,2,19,57,1220,137,1235,208,e
0,2,19,58,1235,137,1250,208,n
0,2,19,59,1250,137,1265,208,e
0,2,19,60,1265,137,1287,208,r
0,2,19,61,1287,137,1310,208,o
0,2,19,62,1310,137,1332,208,g
0,2,19,63,1332,137,1355,208,a
0,2,19,64,1355,137,1377,208,t
0,2,19,65,1377,137,1400,208,v
0,2,19,66,1400,137,1422,208,i
0,2,19,67,1422,137,1445,208,s
0,2,19,68,1445,137,1460,208,e
0,2,19,69,1460,137,1475,208,l
0,2,19,70,1475,137,1497,208,v
0,2,19,71,1497,137,1520,208,v
0,2,19,72,1520,137,1535,208,æ
0,2,19,73,1535,137,1550,208,l
0,2,19,74,1550,137,1565,208,g
0,2,19,75,1565,137,1580,208,e
0,2,19,76,1580,137,1605,208,r
0,2,19,77,190,208,215,307,h
0,2,19,78,215,208,230,307,v
0,2,19,79,230,208,245,307,i
0,2,19,80,245,208,260,307,l
0,2,19,81,260,208,275,307,k
0,2,19,82,275,208,290,307,e
0,2,19,83,290,208,312,307,n
0,2,19,84,312,208,335,307,v
0,2,19,85,335,208,357,307,i
0,2,19,86,357,208,380,307,v
0,2,19,87,380,208,395,307,i
0,2,19,88,395,208,417,307,l
0,2,19,89,417,208,440,307,l
0,2,19,90,440,208,455,307,e
0,2,19,91,455,208,470,307,v
0,2,19,92,470,208,492,307,e
0,2,19,93,492,208,515,307,i
0,2,19,94,515,208,537,307,.
0,2,19,95,537,208,560,307,J
0,2,19,96,560,208,575,307,e
0,2,19,97,575,208,597,307,g
0,2,19,98,597,208,620,307,v
0,2,19,99,620,208,635,307,a
0,2,19,100,635,208,650,307,l
0,2,19,101,650,208,665,307,g
0,2,19,102,665,208,680,307,t
0,2,19,103,680,208,702,307,e
0,2,19,104,702,208,725,307,e
0,2,19,105,725,208,740,307,n
0,2,19,106,740,208,755,307,g
0,2,19,107,755,208,770,307,a
0,2,19,108,770,208,785,307,n
0,2,19,109,785,208,807,307,g
0,2,19,110,807,208,830,307,a
0,2,19,111,830,208,852,307,t
0,2,19,112,852,208,875,307,v
0,2,19,113,875,208,890,307,æ
0,2,19,114,890,208,905,307,r
0,2,19,115,905,208,927,307,e
0,2,19,116,927,208,950,307,l
0,2,19,117,950,208,965,307,æ
0,2,19,118,965,208,980,307,g
0,2,19,119,980,208,1002,307,e
0,2,19,120,1002,208,1025,307,o
0,2,19,121,1025,208,1047,307,g
0,2,19,122,1047,208,1070,307,m
0,2,19,123,1070,208,1085,307,å
0,2,19,124,1085,208,1100,307,t
0,2,19,125,1100,208,1115,307,t
0,2,19,126,1115,208,1137,307,e
0,2,19,127,1137,208,1160,307,t
0,2,19,128,1160,208,1175,307,a
0,2,19,129,1175,208,1190,307,g
0,2,19,130,1190,208,1212,307,e
0,2,19,131,1212,208,1235,307,k
0,2,19,132,1235,208,1250,307,o
0,2,19,133,1250,208,1265,307,n
0,2,19,134,1265,208,1280,307,s
0,2,19,135,1280,208,1295,307,e
0,2,19,136,1295,208,1310,307,k
0,2,19,137,1310,208,1325,307,v
0,2,19,138,1325,208,1340,307,e
0,2,19,139,1340,208,1355,307,n
0,2,19,140,1355,208,1370,307,s
0,2,19,141,1370,208,1385,307,e
0,2,19,142,1385,208,1400,307,r
0,2,19,143,1400,208,1415,307,n
0,2,19,144,1415,208,1430,307,e
0,2,19,145,1430,208,1452,307,.
0,2,19,146,1452,208,1482,307,I
0,2,19,147,1482,208,1505,307,h
0,2,19,148,1505,208,1520,307,a
0,2,19,149,1520,208,1542,307,r
0,2,19,150,1542,208,1565,307,v
0,2,19,151,1565,208,1580,307,a
0,2,19,152,1580,208,1595,307,l
0,2,19,153,1595,208,1610,307,g
0,2,19,154,1610,208,1632,307,t
0,2,19,155,1632,208,1655,307,a
0,2,19,156,1655,208,1680,307,t
0,2,19,157,190,307,215,406,l
0,2,19,158,215,307,230,406,e
0,2,19,159,230,307,245,406,v
0,2,19,160,245,307,267,406,e
0,2,19,161,267,307,297,406,i
0,2,19,162,297,307,320,406,e
0,2,19,163,320,307,342,406,n
0,2,19,164,342,307,365,406,v
0,2,19,165,365,307,380,406,e
0,2,19,166,380,307,395,406,r
0,2,19,167,395,307,410,406,d
0,2,19,168,410,307,425,406,e
0,2,19,169,425,307,447,406,n
0,2,19,170,447,307,470,406,h
0,2,19,171,470,307,485,406,v
0,2,19,172,485,307,500,406,o
0,2,19,173,500,307,522,406,r
0,2,19,174,522,307,552,406,I
0,2,19,175,552,307,575,406,k
